Time Step,SOC (%),Battery Temp (°C),Grid Power (kW)
0,50.0,25.0,0.74
1,48.344963319615914,24.247094505337728,0.39
2,47.47271425925926,23.460658582156032,0.33
3,46.73465735939644,22.670352932146123,0.39
4,45.862408299039785,21.88857121476233,0.191832
5,45.43336911522634,21.090841845359492,0.029911754000000013
6,45.58926713118982,20.27919013491522,0.0
7,46.80162045793185,19.463693862697863,0.0
8,49.231340834147026,18.64265526442731,0.0
9,52.58027466637968,17.815974753565637,0.0
10,56.105577166432724,16.99282799892708,0.0
11,60.17779049493886,16.188456122348192,0.0
12,63.88523518411265,15.43099889008211,0.0
13,66.96459765543038,14.754699896289702,0.0
14,69.26553022003398,14.187375612163304,0.0
15,70.86286007708821,13.729986645523063,0.0
16,71.6316381851129,13.313319978856397,0.05788372000000003
17,71.82789095260262,12.90244168418973,0.35694600000000004
18,71.02956835315132,12.521469617523064,0.414309
19,70.10295133669041,12.146233850856397,0.83
20,68.24662641213622,11.812567184189732,0.5
21,67.12835838744486,11.353273709364133,0.56
22,65.87589819540096,10.848942319711213,0.36
23,65.07074521872057,10.274381542083534,0.97
24,62.90130524615542,9.73222681594829,1.02
25,60.62003846974938,9.131376968378486,0.99
26,58.405867777019616,8.480218976979904,0.96
27,56.25879316796612,7.7942908623073,1.02
28,53.97752639156008,7.093134952982084,0.918308
29,51.9236974409428,6.367269260335815,0.23294000000000004
30,51.402718730380386,5.5656867199826685,0.0
31,52.55431200384152,4.739802984309717,0.0
32,54.83926128973539,3.9165779499298794,0.0
33,57.80939453134502,3.103507411097925,0.0
34,60.958168781744455,2.314846967335004,0.0
35,64.39827031719102,1.5706348787180937,0.0
36,67.50483789713896,0.9097208334384014,0.0
37,70.20536185356994,0.36590101697052113,0.0
38,71.8749229564506,-0.0507656496961455,0.0
39,73.18359608299382,-0.46743231636281213,0.0
40,73.8558133453395,-0.8840989830294788,0.0
41,74.06863245953703,-1.3007656496961455,0.255212
42,73.49784162277435,-1.691911116362812,0.38691600000000004
43,72.6324900384122,-2.0698861830294786,0.44
44,71.64841417421466,-2.442552849696145,0.57
45,70.37358862551783,-2.8022195163628116,0.5
46,69.25532060082647,-3.1688861830294783,1.39
47,66.14653548422838,-3.4878158923987432,0.81
48,64.3349412798388,-4.007130996324215,1.59
49,60.794118310017126,-4.511009171650397,1.08
50,58.378659373117266,-5.150146874571012,0.32
51,57.6629678367661,-5.900397285520027,0.3
52,56.99200702057954,-6.660606812288417,0.179292
53,56.59101399588818,-7.439491576999415,0.060531902000000026
54,56.73343602579456,-8.23382970240498,0.0
55,57.85468818296791,-9.032981054036814,0.0
56,60.14486299019489,-9.821154239458494,0.0
57,62.84935171826028,-10.579134208559593,0.0
58,65.84226766616266,-11.283274558909667,0.0
59,68.83849441834305,-11.895089292885764,0.0
60,71.13175679958138,-12.374844874566696,0.0
61,72.93286129032212,-12.791511541233362,0.0
62,74.42578919155669,-13.208178207900028,0.0
63,75.59102397962253,-13.624844874566694,0.0
64,76.3751823787995,-14.04151154123336,0.0
65,76.86759887982831,-14.458178207900026,0.264627
66,76.27575105403956,-14.848382174566693,1.207014
67,73.57622072482145,-15.144347441233359,2.75
68,68.55319334484889,-15.286014107900025,0.74
69,66.8981566644648,-15.706246539873826,1.47
70,63.61044866720829,-16.129355904647785,0.53
71,62.42508455884066,-16.760449746645214,1.78
72,58.641486733051906,-17.296700784633163,3.91
73,52.136254942928446,-17.684774928987217,1.39
74,49.02746982633037,-18.37014813269357,0.24
75,48.490701170637635,-19.1726234963753,0.18
76,48.08812468229744,-19.98032720348568,0.146204
77,47.76113416789415,-20.79060975855847,0.033966490000000016
78,47.68516688394353,-21.611323996445186,0.0
79,48.073332428068966,-22.435232531365678,0.0
80,49.75781491703445,-23.260102409305155,0.0
81,52.400659640034576,-24.087039841730174,0.0
82,55.83289727797326,-24.91071139599753,0.0
83,59.42798706098709,-25.717157413005555,0.0
84,62.217485160099365,-26.485848188681977,0.0
85,65.75393208595716,-27.204790944678088,0.0
86,68.5125564682057,-27.819867336296422,0.09217729199999991
87,69.25701387039096,-28.306897064586433,0.0
88,69.8450694944703,-28.764737153402567,0.0
89,70.10603727331346,-29.190294176717487,0.26064999999999994
90,69.52308415260015,-29.580895843384155,0.457451
91,68.49997850102264,-29.978597440390164,0.88
92,66.53182677262758,-30.387465914579575,0.82
93,64.69786721158506,-30.890621889514193,0.57
94,63.42304166288822,-31.485079637710175,1.59
95,59.88221869306654,-32.01533321218035,1.57
96,56.37085708812827,-32.6203837994664,1.05
97,54.02249423490468,-33.317626915234534,0.48
98,52.948956930377925,-34.08710658475969,0.18
99,52.54638044203773,-34.891052703860666,0.18
100,52.143803953697535,-35.696301489065135,0.263461
101,51.554563926262695,-36.49430972441352,0.20972000000000002
102,51.08551758195542,-37.29896093617981,0.093475845
103,50.87645548318999,-38.11595422291858,0.07410559
104,51.1152336561257,-38.935121713715255,0.014517270999999998
105,51.47158592766848,-39.75997301782554,0.059924531999999975
106,51.826904272309505,-40.579749498221865,0.0
107,52.5583627266203,-41.40483742492401,0.0
108,53.55055964492414,-42.228050300017905,0.719437
109,51.941512854800685,-42.97573076141702,0.0
110,52.97833878134323,-43.80056718210409,0.0014329379999999947
111,53.58429756792334,-44.62226712191341,0.0
112,54.357062700662574,-45.441747515526174,0.02153434300000001
113,54.753678500647915,-46.25537653483261,0.29788000000000003
114,54.087459138507995,-47.03916370715925,0.788786
115,52.32331081203337,-47.77744683572803,0.49
116,51.227408143994964,-48.552332357908824,0.39
117,50.35515908363831,-49.33948327002376,0.44
118,49.371083219440784,-50.12243203725895,0.64
119,47.93970014673845,-50.885225330568055,0.51
120,46.79906675853543,-51.65878458653923,3.6
121,40.68994132643667,-52.11981349162487,0.72
122,39.07963536621719,-52.818148721575724,1.05
123,36.7312725129936,-53.458041934611785,1.0
124,34.49473645675217,-54.05143371224938,0.9351689999999999
125,32.403197272938726,-54.581984781404955,0.7367239999999999
126,30.755487485558753,-55.04796054636233,0.6684479999999999
127,29.260479433432554,-55.43961692218552,0.18354904699999997
128,28.8499653730759,-55.83792868415219,0.0
129,29.137502575750798,-56.25459535081885,0.0
130,29.61814493686191,-56.67126201748552,0.794316
131,27.841628565119798,-57.00849708415218,0.0
132,28.60864906820622,-57.42516375081885,0.0
133,29.256537626848193,-57.84183041748551,0.0
134,29.5455902060663,-58.258497084152175,0.0
135,29.86440551676589,-58.67516375081884,0.0
136,30.007389147424323,-59.091830417485504,1.39463
137,26.888248873075902,-59.36946325554244,0.75925
138,25.1901588730759,-59.71020492220911,0.39
139,24.31790981271925,-60.08787158887577,1.38
140,21.23149005963283,-60.36653825554244,2.76
141,16.19568505963283,-60.5072049222091,1.25
